id,imei,lat,lng,speed,direction,error,acc,meter,ts,datasource
1,tq000149,0.00000,0.00000,0.0,0.0,0.0,1,1,1433091600,30
2,Z0000212,13.79800,100.66710,0.0,0.0,15.0,1,0,1433091601,30
3,pG000001,13.59750,100.70470,0.0,0.0,0.0,1,0,1433091601,30
4,M2000014,13.72590,100.56290,0.0,0.0,0.0,1,0,1433091601,30
5,or000005,13.79250,100.63680,0.0,0.0,0.0,1,1,1433091602,30
6,2H000001,0.00000,0.00000,0.0,0.0,0.0,0,1,1433091602,30
7,xG000007,13.81060,100.56540,37.0,118.8,15.0,0,1,1433091603,30
8,M2000008,13.74050,100.49720,0.0,0.0,0.0,1,0,1433091603,30
9,Uj000055,0.00000,0.00000,0.0,0.0,0.0,1,1,1433091603,30
10,tq000161,0.00000,0.00000,0.0,0.0,0.0,1,0,1433091604,30
11,KO000018,13.84060,100.54130,0.0,0.0,0.0,0,0,1433091606,30
12,M2000019,13.74870,100.51780,0.0,0.0,0.0,0,0,1433091606,30
13,UP000523,0.00000,0.00000,0.0,0.0,0.0,1,1,1433091607,30
14,tq000135,13.86410,100.49750,73.0,294.5,15.0,0,1,1433091607,30
15,HN000004,13.94870,100.61750,80.0,209.4,15.0,0,1,1433091607,30
16,M2000018,13.73210,100.50590,0.0,0.0,0.0,1,0,1433091609,30
17,qx000011,0.00000,0.00000,0.0,0.0,0.0,0,1,1433091610,30
18,YQ000008,0.00000,0.00000,0.0,0.0,0.0,0,1,1433091610,30
19,9P000008,13.79530,100.72850,0.0,154.4,15.0,1,1,1433091610,30
20,861311003699914,12.57250,99.95449,7.0,71.0,0.7,1,2,1433177939,21
21,SE000007,0.00000,0.00000,0.0,0.0,0.0,0,1,1433091613,30
22,tq000040,0.00000,0.00000,0.0,0.0,0.0,0,1,1433091614,30
23,UP000508,0.00000,0.00000,0.0,0.0,0.0,0,1,1433091614,30
24,Ki000040,13.70140,100.49980,0.0,216.7,15.0,1,1,1433091616,30
25,UP000501,13.66040,100.28160,0.0,316.5,15.0,1,0,1433091616,30
26,fN000067,13.98940,100.61570,0.0,206.0,15.0,1,1,1433091617,30
27,861311003682662,13.73771,100.56399,0.0,0.0,2.0,0,2,1433177948,21
28,UP000534,13.77640,100.46120,0.0,332.9,15.0,1,0,1433091620,30
29,JX000003,13.73660,100.48660,34.0,303.2,15.0,0,1,1433091621,30
30,tq000114,13.85990,100.43940,56.0,345.8,15.0,0,1,1433091623,30
31,qw000012,13.69180,100.64700,0.0,13.3,15.0,0,1,1433091624,30
32,DV000003,13.62300,100.62120,0.0,122.0,15.0,1,0,1433091624,30
33,DC000001,0.00000,0.00000,0.0,0.0,0.0,0,0,1433091624,30
34,pG000001,13.59750,100.70470,0.0,0.0,0.0,1,0,1433091625,30
35,Z0000212,13.79800,100.66710,0.0,0.0,15.0,1,0,1433091625,30
36,Uj000026,13.77650,100.64310,0.0,183.4,15.0,1,1,1433091626,30
37,tq000193,0.00000,0.00000,0.0,0.0,0.0,0,1,1433091627,30
38,or000005,13.79250,100.63680,0.0,0.0,0.0,1,1,1433091627,30
39,Z0000308,0.00000,0.00000,0.0,0.0,0.0,1,0,1433091627,30
40,tq000045,0.00000,0.00000,0.0,0.0,0.0,1,1,1433091629,30
41,UP000490,0.00000,0.00000,0.0,0.0,0.0,1,0,1433091629,30
42,tq000063,0.00000,0.00000,0.0,0.0,0.0,1,0,1433091629,30
43,KO000018,13.84060,100.54130,0.0,0.0,0.0,0,0,1433091630,30
44,UP000550,13.73980,100.46520,0.0,18.0,15.0,1,0,1433091632,30
45,xG000007,13.80820,100.56980,41.0,121.8,15.0,0,1,1433091632,30
46,M2000014,13.72590,100.56290,0.0,0.0,0.0,1,0,1433091634,30
47,Uj000041,0.00000,0.00000,0.0,0.0,0.0,0,1,1433091634,30
48,tq000148,0.00000,0.00000,0.0,0.0,0.0,0,0,1433091634,30
49,863835020545492,13.70238,100.53663,0.0,213.0,15.0,1,2,1433091613,21
50,rB000013,13.74300,100.63560,0.0,0.0,0.0,1,0,1433091636,30
51,tV000080,13.69370,100.50080,0.0,251.7,15.0,1,0,1433091638,30
52,tq000090,0.00000,0.00000,0.0,0.0,0.0,0,0,1433091638,30
53,W3000001,0.00000,0.00000,0.0,0.0,0.0,1,1,1433091639,30
54,2H000001,0.00000,0.00000,0.0,0.0,0.0,0,1,1433091639,30
55,tq000135,13.86700,100.49180,77.0,298.6,15.0,0,1,1433091640,30
56,Ye000001,0.00000,0.00000,0.0,0.0,0.0,0,1,1433091640,30
57,tq000087,0.00000,0.00000,0.0,0.0,0.0,0,0,1433091641,30
58,Uj000067,0.00000,0.00000,0.0,0.0,0.0,0,1,1433091642,30
59,M2000018,13.73210,100.50590,0.0,0.0,0.0,1,0,1433091642,30
60,tq000150,0.00000,0.00000,0.0,0.0,0.0,1,1,1433091643,30
61,HN000004,13.94160,100.61350,82.0,209.0,15.0,0,1,1433091644,30
62,UP000523,0.00000,0.00000,0.0,0.0,0.0,1,1,1433091644,30
63,9P000008,13.79530,100.72850,0.0,154.4,15.0,1,1,1433091646,30
64,tq000149,0.00000,0.00000,0.0,0.0,0.0,1,1,1433091647,30
65,863835020530486,13.59412,100.88016,0.0,101.0,3.0,0,2,1433091607,21
66,qw000012,13.69180,100.64700,0.0,13.3,15.0,0,1,1433091649,30
67,861311003699914,12.57315,99.95557,23.0,331.0,0.8,1,2,1433177977,21
68,tq000161,0.00000,0.00000,0.0,0.0,0.0,1,0,1433091651,30
69,Ki000040,13.70140,100.49980,0.0,216.7,15.0,1,1,1433091652,30
70,JX000003,13.73590,100.48580,11.0,228.6,15.0,0,1,1433091653,30
71,UP000501,13.66040,100.28160,0.0,316.5,15.0,1,0,1433091653,30
72,861311003699799,13.73143,100.56049,0.0,0.0,2.0,0,2,1433177982,21
73,861311003685970,13.72428,100.58320,0.0,0.0,1.0,1,2,1433177983,21
74,Z0000229,0.00000,0.00000,0.0,0.0,0.0,0,1,1433091654,30
75,fN000067,13.98940,100.61570,0.0,206.0,15.0,1,1,1433091654,30
76,tq000114,13.86440,100.43820,57.0,345.9,15.0,0,1,1433091656,30
77,qx000011,0.00000,0.00000,0.0,0.0,0.0,0,1,1433091656,30
78,UP000534,13.77640,100.46120,0.0,332.9,15.0,1,0,1433091658,30
79,pG000001,13.59750,100.70470,0.0,0.0,0.0,1,0,1433091658,30
80,861311003699914,12.57406,99.95506,32.0,331.0,0.8,1,2,1433177989,21
81,M2000014,13.72590,100.56290,0.0,0.0,0.0,1,0,1433091658,30
82,DV000003,13.62300,100.62120,0.0,122.0,15.0,1,0,1433091659,30
83,Z0000212,13.79800,100.66710,0.0,0.0,15.0,1,0,1433091659,30
84,Z0000308,0.00000,0.00000,0.0,0.0,0.0,1,0,1433091660,30
85,tq000193,0.00000,0.00000,0.0,0.0,0.0,0,1,1433091660,30
86,or000005,13.79250,100.63680,0.0,0.0,0.0,1,1,1433091660,30
87,Uj000026,13.77650,100.64310,0.0,183.4,15.0,1,1,1433091661,30
88,863835020535246,13.70228,100.53687,0.0,334.0,9.0,0,2,1433091601,21
89,863835020535006,13.73382,100.57737,0.0,138.0,0.0,0,2,1433091608,21
90,M2000008,13.74050,100.49720,0.0,0.0,0.0,1,0,1433091662,30
91,KO000018,13.84060,100.54130,0.0,0.0,0.0,0,0,1433091664,30
92,353419036178197,13.70614,100.30125,62.0,276.1,1.8,0,0,1433091602,8
93,353419036178197,13.70618,100.30080,56.0,275.8,1.8,0,0,1433091605,8
94,tq000045,0.00000,0.00000,0.0,0.0,0.0,1,1,1433091666,30
95,tq000063,0.00000,0.00000,0.0,0.0,0.0,1,0,1433091666,30
96,UP000490,0.00000,0.00000,0.0,0.0,0.0,1,0,1433091666,30
97,M2000018,13.73210,100.50590,0.0,0.0,0.0,1,0,1433091667,30
98,tq000011,0.00000,0.00000,0.0,0.0,0.0,0,1,1433091667,30
99,863835020534025,13.72103,100.52490,0.0,149.0,11.0,1,2,1433091611,21
100,863835020302498,13.73877,100.56010,0.0,54.0,2.2,0,2,1433091610,21
101,863835020529322,13.72817,100.56884,0.0,114.0,3.0,0,2,1433091600,21
102,xG000007,13.80720,100.56990,33.0,175.6,15.0,0,1,1433091668,30
103,Z0000015,0.00000,0.00000,0.0,0.0,0.0,0,1,1433091668,30
104,UP000550,13.73980,100.46520,0.0,18.0,15.0,1,0,1433091669,30
105,353419036160294,13.50404,100.74863,108.0,278.6,1.6,0,0,1433091604,8
106,353419036160294,13.50404,100.74863,108.0,278.6,1.6,0,0,1433091607,8
107,353419036160294,13.50416,100.74780,108.0,278.9,1.6,0,0,1433091610,8
108,353419036160294,13.50392,100.74946,109.0,278.7,1.6,0,0,1433091601,8
109,Z0000286,13.86890,100.40920,0.0,0.0,15.0,1,0,1433091600,30
110,XV000001,13.78090,100.42390,0.0,0.1,15.0,0,1,1433091600,30
111,DC000005,13.76490,100.52710,61.0,202.3,15.0,0,0,1433091600,30
112,mf000001,13.71510,100.50530,43.0,48.8,15.0,0,1,1433091600,30
113,pb000018,14.02802,100.66710,0.0,115.5,15.0,1,1,1433091600,30
114,Z0000107,13.80290,100.29850,62.0,94.2,15.0,0,1,1433091601,30
115,BM000018,13.58550,100.51800,0.0,331.7,15.0,1,1,1433091600,30
116,863835020298522,13.73153,100.57498,0.0,3.0,6.8,0,2,1433091600,21
117,863835020528167,13.73785,100.54935,0.0,60.0,1.6,0,2,1433091600,21
118,kU000029,13.78590,100.46080,0.0,147.1,15.0,0,1,1433091601,30
119,Hr000004,13.70870,100.54290,0.0,14.2,15.0,1,1,1433091600,30
120,rB000117,13.61690,100.62160,0.0,206.9,15.0,0,1,1433091600,30
121,Uk000009,13.94940,100.63720,0.0,160.1,15.0,1,0,1433091600,30
122,UP000365,13.75830,100.46300,0.0,334.7,15.0,1,1,1433091600,30
123,v7000004,13.78580,100.38420,51.0,96.2,15.0,0,1,1433091600,30
124,UP000392,13.71020,100.53380,0.0,231.4,15.0,0,1,1433091600,30
125,6x000002,13.85580,100.69300,0.0,21.2,15.0,1,1,1433091600,30
126,353419036172356,13.76061,100.61628,30.0,156.5,3.2,1,1,1433091600,8
127,3D000008,13.73780,100.44760,0.0,168.5,15.0,0,1,1433091600,30
128,UP000184,13.74220,100.63340,77.0,258.1,15.0,0,1,1433091600,30
129,tq000216,13.80430,100.57660,46.0,120.1,15.0,0,0,1433091600,30
130,tq000112,13.85110,100.48960,0.0,196.6,15.0,1,0,1433091600,30
131,tq000001,13.84760,100.48040,0.0,327.9,15.0,1,0,1433091600,30
132,UP000664,13.98080,100.57420,0.0,72.6,15.0,1,0,1433091600,30
133,tq000152,13.93470,100.43870,0.0,0.0,15.0,1,0,1433091600,30
134,rB000129,13.76250,100.72270,0.0,305.2,15.0,1,1,1433091600,30
135,8h000027,13.68070,100.56750,0.0,307.6,15.0,1,0,1433091600,30
136,gc000007,13.71450,100.55410,0.0,0.1,15.0,1,0,1433091600,30
137,QL000016,13.69040,100.52450,54.0,223.8,15.0,0,1,1433091600,30
138,Z0000283,13.82410,100.47050,0.0,260.4,15.0,1,1,1433091600,30
139,tq000195,13.81960,100.73770,70.0,85.8,15.0,0,1,1433091600,30
140,Mr000002,13.64290,100.62970,0.0,119.1,15.0,1,1,1433091600,30
141,j6000006,13.71850,100.66440,0.0,352.1,15.0,1,1,1433091601,30
142,SE000059,13.76640,100.40390,0.0,15.3,15.0,1,0,1433091600,30
143,rB000035,13.84540,100.63640,0.0,42.5,15.0,1,1,1433091602,30
144,fN000130,14.02559,100.52570,0.0,69.3,15.0,1,1,1433091600,30
145,2H000053,13.63530,100.70770,41.0,300.5,15.0,0,1,1433091600,30
146,As000021,13.40270,101.00468,0.0,147.7,15.0,1,0,1433091600,30
147,Uk000028,13.79510,100.42900,0.0,191.8,15.0,1,1,1433091600,30
148,rB000032,13.72720,100.57430,75.0,126.8,15.0,0,1,1433091600,30
149,16005232,13.72072,100.39587,0.0,0.0,0.0,1,1,1433091600,9
150,16014585,13.72075,100.50215,0.0,0.0,0.0,0,0,1433091600,9
151,16005683,13.73020,100.56957,0.0,0.0,0.0,0,1,1433091600,9
152,16005372,13.53562,100.63498,0.0,0.0,0.0,1,1,1433091600,9
153,16005377,13.77393,100.72610,0.0,0.0,0.0,1,1,1433091600,9
154,16005007,13.68663,100.72917,0.0,0.0,0.0,1,1,1433091600,9
155,16005531,13.75962,100.49553,0.0,0.0,0.0,0,1,1433091600,9
156,16005298,13.69422,100.37763,0.0,0.0,0.0,1,1,1433091600,9
157,16100354,7.82008,98.32913,0.0,0.0,0.0,1,1,1433091600,9
158,16005695,13.89317,100.51448,0.0,0.0,0.0,1,1,1433091600,9
159,16005552,13.69832,100.20022,0.0,0.0,0.0,1,1,1433091600,9
160,16005996,13.65333,100.43148,0.0,0.0,0.0,1,1,1433091600,9
161,16006016,14.55828,100.15077,0.0,0.0,0.0,1,1,1433091600,9
162,10015259,13.56878,100.92768,92.0,102.0,0.0,0,1,1433091600,9
163,10016298,13.69798,100.49792,38.0,48.0,0.0,0,1,1433091600,9
164,10016623,13.81830,100.71550,18.0,0.0,0.0,0,1,1433091600,9
165,10015715,13.69693,100.42140,50.0,30.0,0.0,0,0,1433091600,9
166,10016794,13.77958,100.51403,12.0,202.0,0.0,0,0,1433091600,9
167,16005272,13.71787,100.44295,0.0,0.0,0.0,1,1,1433091600,9
